sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
66.908,10.825,11.526,54.936,45.400,ott,2012-11-21 15:30:00,-0.018,0.098,-0.013,0.135,-0.187,-0.065,-0.037,0.052
78.082,9.825,9.178,59.148,49.920,brd,2012-11-21 15:30:00,-0.058,-0.020,-0.045,-0.014,-0.118,-0.042,-0.073,-0.025
86.531,7.825,7.511,55.307,49.320,pen,2012-11-21 15:30:00,-3598188800300830810600875205540876124160.000,-38074025880252522496.000,-3598188800300830810600875205540876124160.000,-38074025880252522496.000,-3598188800300830810600875205540876124160.000,-38074025880252522496.000,,
41.521,14.125,13.463,54.900,45.400,ott,2013-04-05 17:48:00,-2.165,-0.342,-2.476,-0.486,-0.571,0.307,-1.638,-0.073
44.324,13.125,11.116,59.129,49.920,brd,2013-04-05 17:48:00,0.203,0.148,0.231,0.175,-0.012,0.012,0.154,0.107
49.268,11.125,9.450,55.300,49.320,pen,2013-04-05 17:48:00,-1.507,-0.237,-1.744,-0.428,-0.362,-0.111,-1.110,0.132
61.881,16.958,16.412,54.898,45.400,ott,2013-04-12 20:38:00,-1.404,-0.016,-1.650,-0.179,-0.247,0.080,-1.033,0.284
49.898,15.958,14.065,59.128,49.920,brd,2013-04-12 20:38:00,0.198,0.101,0.224,0.117,0.034,0.020,0.157,0.078
42.272,13.958,12.398,55.300,49.320,pen,2013-04-12 20:38:00,-1.601,0.310,-1.838,0.175,-0.406,0.201,-1.203,0.597
54.942,16.858,16.499,54.890,45.400,ott,2013-05-12 20:32:00,-0.398,0.316,-0.625,0.177,0.181,0.198,-0.076,0.603
41.618,15.858,14.152,59.123,49.920,brd,2013-05-12 20:32:00,0.473,0.302,0.510,0.351,0.141,0.082,0.398,0.234
33.168,13.858,12.486,55.298,49.320,pen,2013-05-12 20:32:00,-1.096,0.088,-1.366,-0.029,0.113,0.365,-0.659,0.305
75.140,19.142,18.736,54.883,45.400,ott,2013-06-07 22:49:00,0.241,0.735,0.122,0.696,0.153,0.074,0.345,0.471
58.332,18.142,16.390,59.119,49.920,brd,2013-06-07 22:49:00,0.246,0.696,0.153,0.828,0.255,0.166,0.346,0.495
45.733,16.142,14.723,55.297,49.320,pen,2013-06-07 22:49:00,0.250,0.670,0.166,0.965,0.291,0.191,0.349,0.492
54.704,17.258,16.864,54.879,45.400,ott,2013-06-23 20:56:00,-3.660,0.463,-3.957,0.269,-1.970,0.022,-3.102,0.774
39.918,16.258,14.518,59.117,49.920,brd,2013-06-23 20:56:00,-0.024,0.103,-0.021,0.121,-0.055,0.016,-0.018,0.078
29.904,14.258,12.852,55.296,49.320,pen,2013-06-23 20:56:00,-6.043,-0.916,-6.481,-1.096,-3.221,0.820,-5.149,-0.628
69.898,15.675,15.180,54.846,45.400,ott,2013-10-25 19:21:00,0.057,0.014,0.072,0.019,-0.029,-0.013,0.034,0.006
64.583,14.675,12.835,59.099,49.920,brd,2013-10-25 19:21:00,-0.076,-0.014,-0.092,-0.018,0.010,0.009,-0.052,-0.008
61.768,12.675,11.169,55.289,49.320,pen,2013-10-25 19:21:00,-0.273,-0.047,-0.325,-0.061,0.013,0.031,-0.192,-0.026
66.858,10.408,10.147,54.845,45.400,ott,2013-10-28 14:05:00,-0.736,0.168,-0.850,0.274,-0.336,-0.224,-0.591,0.047
81.911,9.408,7.803,59.099,49.920,brd,2013-10-28 14:05:00,-0.153,-0.053,-0.144,-0.047,-0.193,-0.075,-0.161,-0.058
93.257,7.408,6.136,55.289,49.320,pen,2013-10-28 14:05:00,-772853095803894287267712552230075593932991889408.000,-1421399297668181798158336.000,-8930322650836423894031570409289968254976.000,-58339310135382040576.000,-8930322650836423894031570409289968254976.000,-58339310135382040576.000,,
